jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha,diferencia_valor_fmt,valor_actual_fmt,valor_anterior_fmt,puja_maxima_rentable_fmt
Nicolas Pepe,2022577,33317243,31294666,22155463,Swedish,2025-09-03,2.022.577,33.317.243,31.294.666,22.155.463
Vinicius Junior,2014743,110016895,108002152,101568381,,2025-09-03,2.014.743,110.016.895,108.002.152,101.568.381
Joan Garcia,1939829,59956356,58016527,51977036,Adri,2025-09-03,1.939.829,59.956.356,58.016.527,51.977.036
Arda Guler,1800604,85514762,83714158,79303841,,2025-09-03,1.800.604,85.514.762,83.714.158,79.303.841
Franco Mastantuono,1746328,27389120,25642792,17026012,Carre,2025-09-03,1.746.328,27.389.120,25.642.792,17.026.012
Isi Palazon,1575260,32151116,30575856,27901648,Adri,2025-09-03,1.575.260,32.151.116,30.575.856,27.901.648
Etta Eyong,1379356,18049985,16670629,11091586,Carre,2025-09-03,1.379.356,18.049.985,16.670.629,11.091.586
Lamine Yamal,1314832,144395689,143080857,141892190,,2025-09-03,1.314.832,144.395.689,143.080.857,141.892.190
Dean Huijsen,1177754,97579726,96401972,90489506,Carre,2025-09-03,1.177.754,97.579.726,96.401.972,90.489.506
Alvaro F. Carreras,1108504,57888200,56779696,49491234,Carre,2025-09-03,1.108.504,57.888.200,56.779.696,49.491.234
Tajon Buchanan,1062273,13298397,12236124,6493743,,2025-09-03,1.062.273,13.298.397,12.236.124,6.493.743
Oihan Sancet,1003360,46756706,45753346,40575733,,2025-09-03,1.003.360,46.756.706,45.753.346,40.575.733
Aitor Paredes,916359,12266153,11349794,9304772,Adri,2025-09-03,916.359,12.266.153,11.349.794,9.304.772
Ferran Torres,907146,38013124,37105978,29955293,,2025-09-03,907.146,38.013.124,37.105.978,29.955.293
Rafa Marin,903399,19024177,18120778,13506252,Carre,2025-09-03,903.399,19.024.177,18.120.778,13.506.252
Santiago Mouriño,834737,16735920,15901183,10166203,Enric,2025-09-03,834.737,16.735.920,15.901.183,10.166.203
Pape Gueye,817411,17267340,16449929,11426078,,2025-09-03,817.411,17.267.340,16.449.929,11.426.078
Marc Bartra,798729,29223079,28424350,22546979,,2025-09-03,798.729,29.223.079,28.424.350,22.546.979
Giuliano Simeone,726702,34462215,33735513,31636118,Carre,2025-09-03,726.702,34.462.215,33.735.513,31.636.118
Federico Valverde,686804,91038670,90351866,89949355,,2025-09-03,686.804,91.038.670,90.351.866,89.949.355
