jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha
Antony,3.538.572,72.380.113,68.841.541,0,,2025-09-04
Joan Garcia,1.932.642,61.848.369,59.915.727,52.916.313,Adri,2025-09-04
Nicolas Pepe,1.889.915,35.176.521,33.286.606,23.416.133,Swedish,2025-09-04
Vinicius Junior,1.758.978,111.716.407,109.957.429,102.494.422,,2025-09-04
Arda Guler,1.699.851,87.166.587,85.466.736,79.752.866,,2025-09-04
Franco Mastantuono,1.678.709,29.041.947,27.363.238,18.320.731,Carre,2025-09-04
Isi Palazon,1.580.315,33.705.376,32.125.061,28.154.074,Adri,2025-09-04
Dean Huijsen,1.478.698,99.011.197,97.532.499,91.660.253,Carre,2025-09-04
Etta Eyong,1.465.993,19.496.785,18.030.792,11.870.298,Carre,2025-09-04
Lamine Yamal,1.204.907,145.535.020,144.330.113,142.275.318,,2025-09-04
Tajon Buchanan,1.054.207,14.338.053,13.283.846,7.339.758,,2025-09-04
Alvaro F. Carreras,1.048.869,58.905.419,57.856.550,50.948.202,Carre,2025-09-04
Oihan Sancet,1.041.831,47.771.387,46.729.556,41.355.858,,2025-09-04
Nico Williams,1.015.648,109.602.051,108.586.403,105.465.370,,2025-09-04
Pape Gueye,911.234,18.164.713,17.253.479,12.226.683,,2025-09-04
Ferran Torres,902.851,38.893.497,37.990.646,31.173.120,,2025-09-04
Giuliano Simeone,895.970,35.338.641,34.442.671,31.649.095,Carre,2025-09-04
Marc Bartra,869.962,30.074.929,29.204.967,23.238.853,,2025-09-04
Rafa Marin,830.432,19.839.388,19.008.956,14.270.016,Carre,2025-09-04
Santiago Mouriño,825.066,17.547.230,16.722.164,11.096.125,Enric,2025-09-04
Luis Milla,765.255,20.365.558,19.600.303,15.496.889,Carre,2025-09-04
Kylian Mbappe,713.723,145.089.049,144.375.326,141.910.113,Swedish,2025-09-04
Luiz Junior,671.851,16.612.408,15.940.557,12.032.550,Carre,2025-09-04
Aitor Paredes,661.236,12.914.682,12.253.446,9.595.853,Adri,2025-09-04
Adrian Liso,635.161,7.639.825,7.004.664,4.187.962,Swedish,2025-09-04
Valentin Rosier,630.163,11.111.127,10.480.964,7.635.077,Enric,2025-09-04
Thiago Almada,601.279,29.178.543,28.577.264,24.870.126,Adri,2025-09-04
Sergi Cardona,572.867,24.661.908,24.089.041,19.893.009,Enric,2025-09-04
Aurelien Tchouameni,548.510,54.475.581,53.927.071,49.237.062,,2025-09-04
Georges Mikautadze,546.276,22.092.101,21.545.825,0,,2025-09-04
Jorge De Frutos,540.127,20.423.323,19.883.196,17.214.222,Swedish,2025-09-04
Junior Firpo,531.247,12.583.634,12.052.387,10.231.306,,2025-09-04
Ander Barrenetxea,501.154,9.039.982,8.538.828,5.923.999,,2025-09-04
Carlos Vicente,500.116,17.066.155,16.566.039,15.628.098,Carre,2025-09-04
Rodrigo Riquelme,472.799,26.314.507,25.841.708,22.975.886,,2025-09-04
Aaron Escandell,454.480,7.332.333,6.877.853,4.791.705,Swedish,2025-09-04
Nahuel Tenaglia,437.998,10.646.438,10.208.440,7.912.246,,2025-09-04
David Affengruber,432.282,6.472.156,6.039.874,3.841.315,Swedish,2025-09-04
Rafa Mir,430.388,6.348.531,5.918.143,3.838.360,Adri,2025-09-04
Sergi Altimira,420.426,9.331.388,8.910.962,6.303.101,Swedish,2025-09-04
Javi Guerra,416.427,21.040.198,20.623.771,19.153.925,,2025-09-04
Alex Berenguer,408.027,23.053.107,22.645.080,21.094.056,,2025-09-04
Alejandro Catena,398.092,15.360.777,14.962.685,12.855.759,,2025-09-04
Luis Rioja,396.805,15.662.532,15.265.727,14.086.964,,2025-09-04
German Valera,389.787,5.074.644,4.684.857,2.731.867,,2025-09-04
Juan Foyth,389.138,24.940.695,24.551.557,23.099.094,Adri,2025-09-04
Ruben Vargas,388.219,8.464.421,8.076.202,7.279.922,,2025-09-04
Pere Milla,383.900,5.926.714,5.542.814,3.484.886,,2025-09-04
Edu Exposito,377.481,8.308.541,7.931.060,6.465.216,Enric,2025-09-04
Giovani Lo Celso,375.495,75.604.271,75.228.776,69.647.833,,2025-09-04
Federico Valverde,367.339,91.365.790,90.998.451,89.731.798,,2025-09-04
Carles Aleña,353.002,8.190.741,7.837.739,5.956.327,Swedish,2025-09-04
Julen Agirrezabala,341.083,12.675.592,12.334.509,10.505.220,,2025-09-04
Boyomo,335.730,14.671.700,14.335.970,12.222.939,,2025-09-04
Alvaro Rodriguez,324.084,4.739.306,4.415.222,2.830.854,,2025-09-04
Hugo Duro,296.387,14.874.366,14.577.979,13.845.305,,2025-09-04
Lucien Agoume,290.583,5.878.481,5.587.898,4.396.354,,2025-09-04
Arnaut Danjuma,283.122,7.989.345,7.706.223,6.480.147,,2025-09-04
Carlos Romero,278.222,5.297.073,5.018.851,4.575.176,,2025-09-04
Eric Garcia,269.003,16.879.506,16.610.503,14.899.664,,2025-09-04
Cesar Tarrega,261.697,12.102.526,11.840.829,10.685.223,Enric,2025-09-04
Pedro Bigas,258.997,4.318.250,4.059.253,2.841.098,,2025-09-04
Javi Rueda,249.867,2.435.502,2.185.635,1.177.620,,2025-09-04
Yuri Berchiche,248.724,11.228.006,10.979.282,9.648.594,Carre,2025-09-04
Hugo Sotelo,245.416,2.870.914,2.625.498,1.422.144,,2025-09-04
Jesus Areso,241.872,9.965.921,9.724.049,8.429.654,,2025-09-04
Matias Dituro,235.195,4.828.524,4.593.329,3.278.800,,2025-09-04
Alfonso Gonzalez,220.222,6.929.069,6.708.847,6.436.946,Enric,2025-09-04
Hector Bellerin,219.735,8.463.647,8.243.912,6.121.475,,2025-09-04
Alvaro Garcia,215.419,18.272.458,18.057.039,17.096.456,Carre,2025-09-04
Pablo Torre,207.489,8.903.206,8.695.717,8.561.816,,2025-09-04
Pathe Ciss,201.920,4.891.804,4.689.884,3.777.694,,2025-09-04
Mikel Jauregizar,192.688,10.913.485,10.720.797,9.720.250,,2025-09-04
Kike Salas,188.967,5.409.719,5.220.752,4.607.699,Swedish,2025-09-04
Leander Dendoncker,182.660,4.665.413,4.482.753,4.233.852,,2025-09-04
Mouctar Diakhaby,179.479,3.817.190,3.637.711,2.992.597,,2025-09-04
Diego Lopez,167.143,18.067.345,17.900.202,16.578.918,,2025-09-04
Rodrigo Mendoza,165.367,2.412.470,2.247.103,1.783.471,,2025-09-04
Dimitri Foulquier,158.381,7.736.025,7.577.644,6.805.686,,2025-09-04
Pablo Fornals,154.547,19.703.958,19.549.411,17.558.326,,2025-09-04
Natan,154.347,19.970.044,19.815.697,17.663.454,,2025-09-04
Leandro Cabrera,140.058,6.362.501,6.222.443,6.013.018,,2025-09-04
Ionut Radu,134.332,3.855.757,3.721.425,3.380.309,,2025-09-04
Borja Iglesias,133.365,6.833.184,6.699.819,6.926.211,,2025-09-04
Alvaro Nuñez,129.466,2.080.573,1.951.107,1.154.017,Swedish,2025-09-04
Isaac Romero,129.038,5.110.108,4.981.070,4.822.753,,2025-09-04
Marko Dmitrovic,113.286,7.883.782,7.770.496,7.515.710,Enric,2025-09-04
Facundo Garces,110.363,2.048.182,1.937.819,1.282.993,Carre,2025-09-04
Jesus Vazquez,80.504,2.455.500,2.374.996,1.903.245,,2025-09-04
Sergio Herrera,73.176,22.364.208,22.291.032,21.425.460,,2025-09-04
Antonio Sivera,71.215,9.766.688,9.695.473,9.226.818,Carre,2025-09-04
Ivan Romero,69.841,1.957.434,1.887.593,1.180.524,,2025-09-04
Augusto Batalla,68.430,8.944.586,8.876.156,8.362.980,,2025-09-04
Dakonam Djene,65.168,13.006.101,12.940.933,13.530.458,Carre,2025-09-04
Juanlu Sanchez,62.603,2.288.290,2.225.687,1.856.094,,2025-09-04
Andres Castrin,61.129,1.353.174,1.292.045,1.119.594,,2025-09-04
Aleix Febas,55.300,1.379.076,1.323.776,1.076.362,,2025-09-04
Örjan Nyland,55.168,6.031.822,5.976.654,5.877.592,,2025-09-04
Marc Aguado,54.452,1.032.061,977.609,673.410,,2025-09-04
Moi Gomez,45.717,4.770.978,4.725.261,4.200.561,,2025-09-04
Jose Angel Carmona,45.519,2.105.990,2.060.471,2.036.889,Enric,2025-09-04
Mauro Arambarri,44.595,10.106.078,10.061.483,9.614.993,,2025-09-04
Igor Zubeldia,42.366,16.999.025,16.956.659,16.043.293,,2025-09-04
Gabriel Suazo,42.306,3.720.327,3.678.021,3.754.885,,2025-09-04
Omar El Hilali,38.776,4.769.061,4.730.285,4.895.257,,2025-09-04
Nemanja Gudelj,38.579,3.120.502,3.081.923,2.925.047,,2025-09-04
Diego Rico,38.030,7.621.198,7.583.168,6.668.650,,2025-09-04
Haissem Hassan,36.699,3.195.813,3.159.114,3.160.379,,2025-09-04
Juan Cruz,34.032,1.986.946,1.952.914,1.735.857,,2025-09-04
David Costas,30.490,947.715,917.225,888.978,,2025-09-04
Fernando Calero,27.554,1.587.386,1.559.832,1.646.313,,2025-09-04
Jonny Castro,27.239,2.964.555,2.937.316,2.751.708,,2025-09-04
Hugo Alvarez ,25.860,2.344.301,2.318.441,1.933.102,Carre,2025-09-04
Dani Calvo,22.372,1.346.216,1.323.844,1.345.629,,2025-09-04
Daniel Carvajal,21.095,26.275.804,26.254.709,23.666.343,,2025-09-04
Manu Fernandez,18.890,609.645,590.755,483.436,,2025-09-04
Ilaix Moriba,16.502,5.157.530,5.141.028,4.506.756,,2025-09-04
Iñaki Peña,15.765,1.632.822,1.617.057,1.491.243,,2025-09-04
Yaser Asprilla,10.141,3.160.818,3.150.677,3.306.322,Adri,2025-09-04
Roberto Fernandez,9.271,5.636.736,5.627.465,4.965.986,Adri,2025-09-04
Pablo Duran,8.961,557.810,548.849,494.547,,2025-09-04
Fran Perez,8.226,1.468.296,1.460.070,1.598.480,,2025-09-04
Antonio Blanco,6.906,6.355.931,6.349.025,6.278.362,,2025-09-04
Nacho Vidal,5.779,2.340.320,2.334.541,2.455.159,,2025-09-04
Asier Osambela,4.325,255.243,250.918,228.404,,2025-09-04
Pol Tristan,3.835,267.002,263.167,244.053,,2025-09-04
Davinchi,3.481,1.694.016,1.690.535,1.631.898,,2025-09-04
Domingos Duarte,3.398,667.212,663.814,614.976,,2025-09-04
Ramon Martinez,2.534,298.223,295.689,0,,2025-09-04
Manu Gonzalez,2.361,302.361,300.000,0,,2025-09-04
