jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,posicion,team_id,href,prob,lesion,sancion
Jon Karrikaburu,-6861,555282,562143,625660,Delantero,16,https://www.futbolfantasy.com/jugadores/jon-karrikaburu,0%,-1,0
Nelson Deossa,8330,2118749,2110419,1908130,Mediocampista,4,https://www.futbolfantasy.com/jugadores/nelson-deossa,0%,-1,0
Pedro Bigas,-136118,4915525,5051643,5855955,Defensa,21,https://www.futbolfantasy.com/jugadores/pedro-bigas,50%,2,0
Filip Ugrinic,-40650,3793576,3834226,3994798,Mediocampista,18,https://www.futbolfantasy.com/jugadores/filip-ugrinic,70%,-1,0
Jon Gorrotxategi,-163206,6058408,6221614,7291428,Mediocampista,16,https://www.futbolfantasy.com/jugadores/jon-gorrotxategi,30%,1,0
Oriol Rey,-12053,713829,725882,805038,Mediocampista,10,https://www.futbolfantasy.com/jugadores/oriol-rey,50%,-1,0
Carlos Alvarez,14224,19756933,19742709,19146891,Mediocampista,10,https://www.futbolfantasy.com/jugadores/carlos-alvarez,0%,-1,0
Jorge Cabello,-17138,801935,819073,944005,Defensa,10,https://www.futbolfantasy.com/jugadores/jorge-cabello,10%,-1,0
Roger Brugue,-65002,2125478,2190480,2636743,Delantero,10,https://www.futbolfantasy.com/jugadores/roger-brugue,50%,-1,0
Tyrhys Dolan,-7508,5997765,6005273,6131213,Delantero,7,https://www.futbolfantasy.com/jugadores/tyrhys-dolan,80%,-1,0
Matias Dituro,68341,7640656,7572315,6722893,Portero,21,https://www.futbolfantasy.com/jugadores/matias-dituro,90%,-1,0
Junior Firpo,-63217,3381393,3444610,3810019,Defensa,4,https://www.futbolfantasy.com/jugadores/junior-firpo,20%,-1,0
Valentin Gomez,-30629,1721670,1752299,1920921,Defensa,4,https://www.futbolfantasy.com/jugadores/valentin-gomez,20%,-1,0
Manu Fernandez,-339,398763,399102,417372,Defensa,5,https://www.futbolfantasy.com/jugadores/manu-fernandez,0%,-1,0
Martim Neto,-30675,1612326,1643001,1768117,Mediocampista,21,https://www.futbolfantasy.com/jugadores/martim-neto,50%,-1,0
Ferran Jutgla,32444,9538995,9506551,9091401,Delantero,5,https://www.futbolfantasy.com/jugadores/ferran-jutgla,80%,-1,0
David Hancko,465175,38962449,38497274,34443065,Defensa,2,https://www.futbolfantasy.com/jugadores/david-hancko,80%,-1,0
Luiz Felipe,-78306,3656568,3734874,4115277,Defensa,14,https://www.futbolfantasy.com/jugadores/luiz-felipe,0%,0,0
Jonny Castro,65265,5465004,5399739,5554234,Defensa,28,https://www.futbolfantasy.com/jugadores/jonny-castro,70%,-1,0
Trent Alexander-Arnold,-141733,22639504,22781237,24386559,Defensa,15,https://www.futbolfantasy.com/jugadores/trent-alexander-arnold,50%,-1,0
Dean Huijsen,691730,33152189,32460459,30625952,Defensa,15,https://www.futbolfantasy.com/jugadores/dean-huijsen,70%,-1,0
Matteo Ruggeri,-106965,5849405,5956370,6747308,Defensa,2,https://www.futbolfantasy.com/jugadores/matteo-ruggeri,0%,-1,0
Jose Salinas,-7160,1024970,1032130,1070070,Defensa,11,https://www.futbolfantasy.com/jugadores/jose-salinas,0%,-1,0
Ivan Romero,47190,7411256,7364066,6830853,Delantero,10,https://www.futbolfantasy.com/jugadores/ivan-romero,70%,-1,0
Federico Redondo,-15479,853089,868568,959377,Mediocampista,21,https://www.futbolfantasy.com/jugadores/federico-redondo,0%,-1,0
Victor Garcia,-39944,1947078,1987022,2195519,Defensa,10,https://www.futbolfantasy.com/jugadores/victor-garcia,0%,-1,0
