date,rival,team_value_M,daily_gain_K,avg_prob,player_count
2026-08-13,Carre,177.49627002,1740.15951,56.0,15
2026-08-13,Suec,112.773659152,-582.5085700000001,56.0,12
2026-08-14,Carre,176.626190265,1740.15951,55.0,15
2026-08-14,Suec,113.705672864,-582.5085700000001,55.0,12
2026-08-15,Carre,175.75611051,1740.15951,57.0,15
2026-08-15,Suec,114.637686576,-582.5085700000001,57.0,12
2026-08-16,Carre,174.88603075499998,1740.15951,56.0,15
2026-08-16,Suec,115.569700288,-582.5085700000001,56.0,12
2026-08-17,Carre,261.020519,2324.762,,15
2026-08-17,JO (El meu equip),238.274731,-360.961,,14
2026-08-17,Suec,220.430157,133.878,,13
